n,	e
1573,	22.821407
1574,	22.823917
1575,	22.826425
1576,	22.828932
1577,	22.831437
1578,	22.833940
1579,	22.836442
1580,	22.838942
1581,	22.841441
1582,	22.843938
1583,	22.846433
1584,	22.848927
1585,	22.851420
1586,	22.853911
1587,	22.856400
1588,	22.858888
1589,	22.861374
1590,	22.863859
1591,	22.866342
1592,	22.868824
1593,	22.871304
1594,	22.873783
1595,	22.876260
1596,	22.878736
1597,	22.881210
1598,	22.883682
1599,	22.886153
1600,	22.888623
1601,	22.891091
1602,	22.893557
1603,	22.896022
1604,	22.898486
1605,	22.900947
1606,	22.903408
1607,	22.905867
1608,	22.908324
1609,	22.910780
1610,	22.913234
1611,	22.915687
1612,	22.918139
1613,	22.920589
1614,	22.923037
1615,	22.925484
1616,	22.927929
1617,	22.930373
1618,	22.932816
1619,	22.935257
1620,	22.937696
1621,	22.940134
1622,	22.942571
1623,	22.945006
1624,	22.947439
1625,	22.949871
1626,	22.952302
1627,	22.954731
1628,	22.957159
1629,	22.959585
1630,	22.962010
1631,	22.964433
1632,	22.966855
1633,	22.969275
1634,	22.971694
1635,	22.974112
1636,	22.976528
1637,	22.978942
1638,	22.981355
1639,	22.983767
1640,	22.986177
1641,	22.988586
1642,	22.990993
1643,	22.993399
1644,	22.995803
1645,	22.998206
1646,	23.000608
1647,	23.003008
1648,	23.005407
1649,	23.007804
1650,	23.010200
1651,	23.012594
1652,	23.014987
1653,	23.017379
1654,	23.019769
1655,	23.022158
1656,	23.024545
1657,	23.026931
1658,	23.029315
1659,	23.031698
1660,	23.034080
1661,	23.036460
